"money" "dates"
"$ 3,349" 2000-01-01
"$ 8,456" 2000-02-01
"$ 1,261" 2000-03-01
"$ 3,290" 2000-04-01
"$ 3,704" 2000-05-01
"$ 7,110" 2000-06-01
"$ 7,268" 2000-07-01
"$ 8,507" 2000-08-01
"$ 7,122" 2000-09-01
"$ 6,943" 2000-10-01
"$ 8,420" 2000-11-01
"$ 4,279" 2000-12-01
"$ 5,804" 2001-01-01
"$ 6,010" 2001-02-01
"$ 1,840" 2001-03-01
"$ 1,958" 2001-04-01
"$ 2,922" 2001-05-01
"$ 9,109" 2001-06-01
"$ 6,036" 2001-07-01
"$ 1,245" 2001-08-01
"$ 8,530" 2001-09-01
"$ 2,199" 2001-10-01
"$ 7,870" 2001-11-01
"$ 3,802" 2001-12-01
"$ 8,021" 2002-01-01
"$ 8,038" 2002-02-01
"$ 4,701" 2002-03-01
"$ 9,044" 2002-04-01
"$ 3,980" 2002-05-01
"$ 3,709" 2002-06-01
"$ 8,668" 2002-07-01
"$ 8,680" 2002-08-01
"$ 4,065" 2002-09-01
"$ 5,003" 2002-10-01
"$ 3,620" 2002-11-01
"$ 9,980" 2002-12-01
"$ 3,553" 2003-01-01
"$ 9,484" 2003-02-01
"$ 2,254" 2003-03-01
"$ 9,272" 2003-04-01
"$ 8,361" 2003-05-01
"$ 7,401" 2003-06-01
"$ 3,096" 2003-07-01
"$ 1,700" 2003-08-01
"$ 5,036" 2003-09-01
"$ 9,686" 2003-10-01
"$ 5,206" 2003-11-01
"$ 4,951" 2003-12-01
"$ 8,627" 2004-01-01
"$ 2,818" 2004-02-01
